age,job,marital,education,race,default,balance,housing,contact,duration,contactndays,signed up,gender
42,services,married,secondary,white,no,0,no,unknown,118,-1,0,f
38,management,single,tertiary,hispanic,no,0,no,cellular,95,-1,0,m
30,admin.,married,secondary,white,no,482,no,cellular,86,-1,0,m
50,admin.,married,secondary,asian,no,761,no,cellular,273,-1,0,m
28,self-employed,single,tertiary,hispanic,no,159,no,cellular,449,33,1,f
82,housemaid,married,primary,white,no,2140,no,telephone,118,-1,0,f
43,blue-collar,married,secondary,black,no,184,no,cellular,1019,-1,1,f
49,blue-collar,married,secondary,black,no,4259,no,cellular,146,111,0,m
58,management,divorced,tertiary,black,no,577,no,unknown,1244,-1,0,m
43,management,divorced,tertiary,white,no,2367,no,cellular,114,38,1,f
51,technician,married,secondary,black,no,117,no,cellular,467,88,1,f
44,management,married,secondary,hispanic,no,488,no,cellular,138,183,0,f
42,technician,married,secondary,asian,no,827,no,cellular,153,-1,0,m
32,management,single,tertiary,black,no,0,no,cellular,63,-1,0,m
33,technician,married,secondary,black,no,1026,no,cellular,87,1,0,f
30,technician,single,secondary,asian,no,9645,no,cellular,130,-1,0,f
54,technician,single,secondary,white,no,224,no,cellular,134,-1,0,m
38,blue-collar,married,secondary,asian,no,0,no,unknown,361,-1,0,m
31,management,single,tertiary,hispanic,no,35,no,cellular,27,-1,0,f
31,management,single,tertiary,white,no,617,no,cellular,1161,97,1,m
32,technician,single,tertiary,hispanic,no,388,no,cellular,250,-1,1,f
46,blue-collar,married,secondary,asian,no,6215,no,unknown,155,-1,0,f
28,management,single,tertiary,hispanic,no,1,no,cellular,86,-1,0,m
29,unemployed,single,secondary,hispanic,no,323,no,cellular,151,-1,0,f
55,housemaid,married,primary,black,no,10,no,cellular,174,-1,0,m
56,retired,married,primary,hispanic,no,842,no,unknown,108,-1,0,m
55,unemployed,married,secondary,hispanic,no,377,no,cellular,403,183,0,f
25,blue-collar,single,secondary,black,yes,-220,no,cellular,152,-1,0,m
73,retired,married,primary,asian,no,542,no,cellular,355,180,1,m
59,housemaid,married,primary,hispanic,no,1071,no,unknown,140,-1,0,f
38,management,married,tertiary,black,no,1223,no,cellular,1092,-1,1,m
33,management,single,tertiary,asian,no,1590,no,cellular,57,-1,0,m
40,technician,married,tertiary,black,no,99,no,cellular,220,364,0,f
67,retired,divorced,secondary,white,no,704,no,cellular,186,97,1,f
41,unemployed,married,secondary,hispanic,no,5608,no,cellular,64,-1,0,m
32,technician,married,secondary,black,no,0,no,cellular,750,-1,0,m
28,entrepreneur,single,tertiary,asian,no,16,no,cellular,48,-1,0,m
44,services,divorced,secondary,hispanic,no,0,no,cellular,275,-1,0,f
56,management,married,tertiary,white,no,0,no,unknown,422,-1,1,m
43,entrepreneur,married,tertiary,asian,no,396,no,unknown,105,-1,0,m
36,management,married,tertiary,asian,no,5367,no,cellular,324,455,0,m
43,retired,single,secondary,hispanic,no,53,no,telephone,305,-1,0,m
48,services,married,secondary,asian,yes,-20,no,cellular,142,-1,0,m
33,blue-collar,married,primary,hispanic,no,496,no,cellular,151,-1,0,f
55,admin.,married,secondary,white,no,602,no,cellular,390,150,1,m
64,retired,married,tertiary,white,no,14170,no,cellular,62,-1,0,f
52,management,divorced,tertiary,hispanic,no,590,no,unknown,354,-1,0,m
56,blue-collar,married,primary,black,no,284,no,telephone,124,204,0,m
54,admin.,divorced,secondary,black,no,1693,no,cellular,1277,87,1,f
56,services,divorced,secondary,asian,no,935,no,cellular,112,227,0,m
30,services,divorced,secondary,white,no,21,no,cellular,49,-1,0,m
32,blue-collar,single,secondary,black,no,427,no,unknown,11,-1,0,f
53,management,married,tertiary,asian,no,1619,no,unknown,89,-1,0,m
37,services,married,secondary,black,no,40,no,unknown,42,-1,0,m
47,technician,married,secondary,black,no,147,no,cellular,136,-1,0,m
30,blue-collar,married,secondary,black,no,365,no,unknown,381,-1,0,m
30,admin.,single,unknown,asian,yes,1,no,unknown,307,-1,0,m
30,management,married,tertiary,black,no,562,no,cellular,137,-1,0,f
20,student,single,unknown,white,no,167,no,cellular,237,-1,0,f
54,management,divorced,tertiary,white,no,380,no,cellular,501,188,0,f
49,management,married,tertiary,asian,no,629,no,cellular,431,-1,0,f
49,management,married,tertiary,hispanic,no,4594,no,cellular,157,-1,0,m
29,student,single,secondary,asian,no,48,no,cellular,51,-1,0,m
36,management,married,tertiary,hispanic,no,324,no,cellular,104,-1,0,f
47,technician,divorced,secondary,white,no,1013,no,cellular,170,92,1,m
52,blue-collar,married,primary,black,no,2,no,unknown,70,-1,0,f
31,unemployed,married,secondary,white,no,20,no,telephone,52,-1,0,f
32,management,married,tertiary,asian,no,0,no,cellular,74,-1,0,f
29,unemployed,single,tertiary,asian,no,70,no,cellular,393,-1,1,m
26,blue-collar,single,secondary,white,no,37,no,cellular,301,-1,0,m
57,unemployed,married,secondary,asian,no,4588,no,cellular,485,-1,0,f
46,blue-collar,married,primary,black,no,201,no,cellular,163,-1,0,m
39,technician,single,secondary,black,no,201,no,unknown,148,-1,0,m
36,management,married,tertiary,asian,no,369,no,cellular,193,102,0,f
43,technician,married,secondary,hispanic,no,136,no,cellular,363,-1,1,f
70,retired,married,primary,hispanic,no,3230,no,cellular,300,48,0,m
43,blue-collar,divorced,secondary,asian,no,-259,no,cellular,732,171,0,m
27,blue-collar,single,secondary,hispanic,no,148,no,cellular,203,-1,0,m
36,management,married,tertiary,black,no,255,no,cellular,970,92,1,m
52,technician,married,secondary,hispanic,no,526,no,cellular,60,-1,0,m
54,housemaid,married,primary,black,no,470,no,cellular,104,-1,0,m
62,retired,married,secondary,black,no,816,no,cellular,28,-1,0,f
29,unemployed,single,secondary,hispanic,no,875,no,cellular,137,-1,0,f
31,unemployed,married,tertiary,white,no,591,no,cellular,161,-1,0,m
36,technician,married,secondary,white,no,278,no,cellular,121,-1,0,f
50,admin.,married,secondary,hispanic,no,715,no,cellular,131,-1,0,m
60,retired,married,tertiary,asian,no,3461,no,cellular,128,-1,0,m
43,admin.,married,unknown,hispanic,no,3485,no,unknown,113,-1,0,f
51,services,single,unknown,black,no,415,no,cellular,210,-1,0,m
46,management,married,tertiary,black,no,1446,no,cellular,359,-1,0,m
28,technician,single,secondary,black,no,1363,no,cellular,431,102,0,f
43,retired,married,secondary,asian,no,860,no,telephone,132,-1,1,m
39,blue-collar,single,secondary,white,no,1961,no,unknown,216,-1,0,f
26,admin.,divorced,secondary,white,no,1,no,cellular,92,-1,0,m
34,technician,married,secondary,black,no,298,no,cellular,42,-1,0,f
55,services,married,secondary,asian,no,0,no,cellular,106,-1,0,f
44,management,married,tertiary,asian,no,2876,no,unknown,125,-1,0,f
33,entrepreneur,married,secondary,white,no,0,no,cellular,224,-1,0,f
58,retired,married,secondary,white,no,571,no,cellular,54,-1,0,m
26,admin.,single,secondary,white,no,187,no,cellular,226,-1,0,f
59,management,single,tertiary,hispanic,no,911,no,unknown,172,-1,0,f
38,management,married,tertiary,black,no,1,no,cellular,342,-1,0,m
30,blue-collar,single,secondary,asian,no,228,no,cellular,232,365,0,m
32,blue-collar,married,secondary,white,no,2263,no,cellular,113,-1,0,f
52,admin.,married,secondary,white,no,350,no,cellular,460,-1,0,m
34,technician,married,secondary,black,no,22,no,cellular,270,-1,0,m
53,management,single,tertiary,hispanic,no,0,no,cellular,595,-1,0,f
38,blue-collar,single,secondary,hispanic,no,340,no,cellular,260,-1,0,m
53,management,married,tertiary,hispanic,no,618,no,cellular,73,-1,0,m
50,management,married,tertiary,black,yes,72,no,cellular,171,-1,0,m
42,blue-collar,married,secondary,black,no,-422,no,cellular,31,-1,0,m
38,admin.,single,secondary,hispanic,no,-211,no,cellular,166,-1,0,f
43,technician,divorced,secondary,white,no,1532,no,cellular,61,-1,0,f
38,admin.,single,secondary,white,no,0,no,cellular,452,-1,0,m
36,management,single,tertiary,white,no,0,no,cellular,300,96,0,m
35,self-employed,single,tertiary,white,no,353,no,cellular,582,-1,1,f
57,management,married,secondary,black,no,0,no,cellular,132,-1,0,f
30,admin.,single,tertiary,white,no,311,no,cellular,158,-1,1,f
59,management,married,tertiary,black,no,1069,no,cellular,85,-1,0,m
48,unemployed,married,primary,asian,no,9622,no,cellular,787,-1,0,m
61,housemaid,married,primary,black,no,368,no,cellular,62,-1,0,f
52,housemaid,married,primary,asian,no,3283,no,unknown,553,-1,0,m
52,technician,married,secondary,asian,no,136,no,cellular,88,-1,0,m
41,admin.,married,secondary,asian,no,4539,no,unknown,298,-1,0,f
49,services,married,secondary,black,no,388,no,telephone,1032,-1,1,f
33,services,married,secondary,asian,no,0,no,cellular,128,-1,0,m
30,management,single,tertiary,asian,no,414,no,cellular,635,-1,0,f
55,blue-collar,married,unknown,black,no,7561,no,unknown,685,-1,1,m
34,technician,married,secondary,black,no,1137,no,cellular,383,206,0,f
42,blue-collar,divorced,secondary,black,no,1450,no,cellular,394,-1,0,f
50,entrepreneur,divorced,tertiary,asian,no,315,no,cellular,249,119,0,f
59,retired,married,secondary,white,no,4457,no,cellular,127,-1,0,f
56,technician,married,secondary,black,no,4073,no,cellular,239,-1,0,m
36,services,married,secondary,hispanic,no,30,no,cellular,716,-1,1,f
55,blue-collar,married,secondary,black,no,644,no,cellular,42,-1,0,m
27,management,married,tertiary,white,no,4909,no,cellular,159,-1,0,f
43,management,married,tertiary,black,no,1993,no,cellular,37,174,0,f
33,management,single,tertiary,asian,no,191,no,cellular,678,209,0,m
45,technician,married,secondary,white,no,1629,no,cellular,58,-1,0,f
52,blue-collar,married,primary,white,no,1949,no,cellular,108,-1,0,f
25,student,single,secondary,asian,no,469,no,cellular,273,86,1,f
29,admin.,single,secondary,black,no,1277,no,cellular,165,481,1,f
33,admin.,married,tertiary,asian,no,882,no,cellular,104,183,1,m
34,management,married,secondary,black,no,42,no,cellular,82,-1,0,m
31,technician,single,tertiary,black,no,454,no,cellular,73,-1,0,f
61,retired,married,tertiary,hispanic,no,5267,no,cellular,226,-1,1,f
35,housemaid,married,tertiary,hispanic,no,3831,no,cellular,59,-1,0,m
25,admin.,single,tertiary,black,no,11,no,cellular,236,-1,0,f
25,student,single,secondary,white,no,3090,no,cellular,139,-1,0,f
38,blue-collar,married,unknown,black,no,113,no,unknown,25,-1,0,m
52,management,married,primary,black,no,324,no,cellular,81,-1,0,f
32,management,single,tertiary,asian,no,2613,no,cellular,520,-1,0,m
65,retired,married,unknown,black,no,820,no,cellular,432,-1,0,m
36,management,married,tertiary,white,no,925,no,cellular,321,189,1,f
45,admin.,married,secondary,black,yes,-571,no,cellular,332,-1,0,m
47,admin.,married,secondary,asian,no,2,no,cellular,89,-1,0,m
36,management,single,tertiary,black,no,335,no,unknown,5,772,0,m
58,technician,married,unknown,white,no,-509,no,cellular,239,-1,0,f
50,technician,divorced,secondary,hispanic,no,2910,no,cellular,364,-1,0,f
31,blue-collar,married,tertiary,hispanic,no,-35,no,cellular,952,-1,1,f
24,admin.,single,secondary,black,no,5,no,cellular,66,330,0,m
51,admin.,married,secondary,white,no,2662,no,telephone,148,-1,0,m
35,management,married,tertiary,asian,no,178,no,cellular,76,-1,0,f
31,technician,single,secondary,white,no,198,no,cellular,366,-1,0,m
38,blue-collar,married,primary,hispanic,no,1597,no,telephone,15,-1,0,m
50,technician,divorced,unknown,hispanic,no,2794,no,cellular,1336,-1,1,f
52,technician,married,secondary,hispanic,no,0,no,cellular,541,-1,1,m
41,technician,married,tertiary,white,no,6961,no,cellular,235,-1,0,m
47,entrepreneur,divorced,secondary,white,no,186,no,cellular,112,-1,0,f
32,technician,single,secondary,white,no,0,no,cellular,92,-1,0,f
41,blue-collar,married,primary,white,no,438,no,cellular,46,-1,0,m
47,services,married,secondary,hispanic,no,459,no,cellular,599,-1,0,m
53,technician,single,tertiary,white,no,118,no,cellular,431,-1,0,f
28,blue-collar,single,secondary,white,no,2909,no,cellular,205,-1,0,f
36,entrepreneur,married,tertiary,black,no,247,no,cellular,351,-1,0,m
53,admin.,married,secondary,white,no,8449,no,cellular,123,-1,0,f
20,student,single,unknown,white,no,457,no,cellular,214,-1,0,f
35,management,single,tertiary,white,no,362,no,cellular,256,-1,0,m
52,management,married,secondary,asian,no,5193,no,cellular,477,-1,0,f
47,unemployed,single,primary,asian,no,289,no,cellular,210,-1,0,m
36,blue-collar,married,primary,asian,no,0,no,unknown,149,-1,0,m
59,unemployed,single,secondary,black,no,865,no,cellular,1086,-1,0,m
58,management,divorced,tertiary,asian,no,1266,no,unknown,164,-1,0,m
37,management,single,tertiary,white,no,8066,no,telephone,57,-1,0,m
34,student,single,unknown,white,no,1281,no,cellular,279,117,0,f
41,technician,married,secondary,white,no,1819,no,cellular,397,371,1,f
53,unknown,married,primary,white,no,732,no,cellular,759,-1,1,m
24,management,single,tertiary,white,no,1085,no,cellular,95,-1,0,m
31,services,single,secondary,asian,no,125,no,cellular,360,-1,0,m
27,blue-collar,single,primary,asian,no,21,no,cellular,197,-1,0,f
38,management,married,tertiary,black,no,1477,no,cellular,385,769,1,f
29,admin.,single,secondary,asian,no,-133,no,cellular,108,-1,0,f
55,admin.,divorced,secondary,black,no,0,no,unknown,76,-1,0,f
35,blue-collar,married,primary,asian,no,828,no,unknown,468,-1,0,m
36,management,divorced,tertiary,white,no,0,no,cellular,247,-1,0,m
73,retired,married,primary,asian,no,279,no,cellular,399,-1,1,m
40,blue-collar,single,primary,asian,no,397,no,unknown,163,-1,0,f
35,management,single,tertiary,white,no,556,no,cellular,52,-1,0,m
32,technician,married,secondary,hispanic,no,3095,no,cellular,204,-1,0,m
59,admin.,married,primary,asian,no,1040,no,telephone,733,-1,0,m
27,blue-collar,single,secondary,black,no,677,no,telephone,110,-1,0,f
52,technician,married,secondary,white,no,786,no,cellular,310,-1,0,f
51,blue-collar,married,secondary,hispanic,no,279,no,cellular,64,-1,0,f
36,blue-collar,married,primary,black,no,1707,no,unknown,190,-1,0,f
40,technician,married,tertiary,asian,no,1554,no,cellular,99,-1,0,f
26,admin.,single,secondary,white,no,1099,no,cellular,99,225,0,f
52,housemaid,married,secondary,hispanic,no,14363,no,unknown,132,-1,0,m
40,admin.,married,secondary,asian,no,2199,no,unknown,38,-1,0,m
55,management,married,secondary,asian,no,8592,no,unknown,255,-1,0,f
25,services,single,secondary,asian,no,594,no,cellular,89,-1,1,f
49,management,single,tertiary,white,no,2555,no,cellular,263,-1,0,f
57,retired,married,tertiary,hispanic,no,3571,no,unknown,708,-1,0,m
52,self-employed,married,secondary,hispanic,no,-201,no,cellular,905,133,0,m
50,technician,married,secondary,hispanic,no,2242,no,cellular,170,-1,0,m
41,management,married,secondary,hispanic,yes,-771,no,unknown,343,-1,0,f
53,blue-collar,married,primary,white,yes,-462,no,cellular,470,-1,1,m
32,management,single,tertiary,asian,no,1966,no,cellular,176,-1,0,m
32,self-employed,married,secondary,asian,no,409,no,cellular,217,-1,1,m
60,retired,married,secondary,asian,no,208,no,cellular,70,-1,0,f
46,management,married,tertiary,white,no,182,no,cellular,317,-1,0,f
36,management,divorced,tertiary,white,no,59,no,cellular,526,-1,1,m
71,retired,divorced,secondary,black,no,0,no,cellular,771,171,1,m
48,technician,married,secondary,black,no,480,no,cellular,371,-1,0,m
39,management,divorced,unknown,asian,no,401,no,unknown,126,-1,0,m
52,management,married,secondary,hispanic,no,0,no,cellular,249,-1,0,f
37,admin.,single,secondary,black,no,127,no,cellular,83,-1,0,f
36,technician,married,secondary,white,no,594,no,cellular,230,-1,0,m
59,blue-collar,married,secondary,white,no,87,no,unknown,65,-1,0,f
48,unknown,married,unknown,black,no,286,no,cellular,166,-1,0,f
33,blue-collar,single,primary,black,yes,-15,no,cellular,326,-1,0,f
37,retired,married,secondary,black,no,71,no,cellular,254,-1,0,m
54,retired,married,primary,hispanic,no,1156,no,unknown,64,-1,0,f
40,entrepreneur,married,secondary,black,no,285,no,cellular,133,-1,0,f
45,housemaid,divorced,tertiary,white,no,2098,no,unknown,81,-1,0,m
33,technician,single,secondary,hispanic,no,2481,no,cellular,104,-1,0,f
54,technician,married,unknown,black,no,1162,no,telephone,37,-1,0,m
45,management,single,tertiary,black,no,1395,no,cellular,67,-1,0,m
30,self-employed,single,secondary,black,no,192,no,cellular,423,-1,0,m
38,services,divorced,secondary,black,no,5873,no,unknown,191,-1,0,f
29,admin.,single,tertiary,asian,no,8,no,cellular,107,-1,0,f
39,management,divorced,tertiary,black,no,224,no,cellular,208,-1,1,f
41,management,married,tertiary,black,no,1773,no,unknown,106,-1,0,m
59,unemployed,married,primary,asian,no,13836,no,telephone,733,-1,0,m
32,management,married,secondary,white,no,251,no,cellular,272,-1,0,f
49,blue-collar,married,primary,black,no,1,no,cellular,98,210,0,f
58,retired,married,secondary,hispanic,no,2126,no,cellular,184,-1,0,m
52,blue-collar,married,unknown,asian,no,-4,no,unknown,336,-1,0,m
53,services,married,unknown,black,no,18,no,unknown,503,-1,0,m
43,blue-collar,married,secondary,white,no,1035,no,cellular,122,-1,0,m
47,technician,married,secondary,hispanic,no,2480,no,cellular,763,-1,1,m
29,blue-collar,single,secondary,asian,no,-20,no,cellular,574,-1,1,f
59,management,divorced,tertiary,asian,no,14,no,cellular,114,-1,0,f
34,management,married,tertiary,asian,no,333,no,cellular,170,-1,0,m
37,technician,married,secondary,white,yes,0,no,unknown,236,-1,0,f
44,management,married,tertiary,hispanic,no,773,no,cellular,618,-1,0,m
25,admin.,single,tertiary,black,no,1185,no,cellular,135,-1,0,m
26,services,single,tertiary,white,no,2803,no,cellular,11,-1,0,f
49,admin.,single,secondary,asian,no,275,no,unknown,14,-1,0,f
35,technician,single,tertiary,hispanic,no,914,no,unknown,166,-1,0,m
30,technician,single,tertiary,white,no,411,no,cellular,127,149,1,f
46,unemployed,divorced,primary,black,no,23,no,cellular,344,-1,0,m
39,blue-collar,married,primary,asian,no,3324,no,cellular,96,131,0,m
53,admin.,married,secondary,hispanic,no,459,no,cellular,558,-1,1,f
46,technician,married,secondary,asian,no,792,no,unknown,170,-1,0,f
29,admin.,single,tertiary,hispanic,no,514,no,cellular,270,-1,0,f
53,entrepreneur,married,tertiary,hispanic,no,71,no,cellular,86,-1,0,f
71,retired,married,tertiary,asian,no,3561,no,telephone,577,-1,1,m
51,housemaid,married,secondary,black,no,294,no,cellular,640,-1,0,f
47,technician,married,secondary,hispanic,no,72,no,unknown,278,-1,0,f
29,blue-collar,single,secondary,white,no,482,no,cellular,168,-1,0,m
26,management,single,tertiary,white,no,761,no,cellular,362,-1,0,m
34,services,married,secondary,black,no,0,no,cellular,160,-1,0,f
72,retired,married,primary,white,no,4657,no,telephone,255,91,1,f
41,management,married,secondary,white,no,6,no,cellular,123,-1,0,f
58,unknown,married,tertiary,black,no,327,no,telephone,124,-1,0,m
31,management,single,tertiary,asian,no,0,no,cellular,35,-1,0,f
59,technician,married,secondary,black,no,2528,no,unknown,216,-1,0,m
57,services,married,secondary,asian,no,-37,no,telephone,31,-1,0,f
29,blue-collar,single,primary,white,no,343,no,cellular,39,-1,0,f
56,blue-collar,married,primary,hispanic,no,2442,no,cellular,111,-1,0,m
52,unemployed,married,secondary,black,no,1416,no,cellular,218,187,1,m
44,admin.,married,secondary,hispanic,no,1305,no,cellular,72,-1,0,m
50,entrepreneur,divorced,tertiary,black,no,541,no,cellular,204,-1,0,m
60,management,married,tertiary,white,no,13360,no,unknown,264,-1,0,f
30,technician,single,secondary,asian,no,3048,no,cellular,223,-1,0,f
26,student,single,secondary,asian,no,611,no,cellular,455,-1,0,m
31,management,married,secondary,white,no,0,no,cellular,81,-1,0,m
52,management,married,secondary,black,no,335,no,cellular,411,182,1,f
44,management,divorced,tertiary,black,no,0,no,cellular,71,-1,0,m
53,technician,married,secondary,white,no,65,no,cellular,99,92,0,f
49,management,married,tertiary,hispanic,no,64,no,cellular,208,159,0,f
65,technician,married,secondary,asian,no,2303,no,cellular,95,-1,0,m
52,admin.,divorced,secondary,asian,no,1426,no,cellular,115,-1,0,f
42,services,married,secondary,asian,no,3236,no,unknown,521,-1,0,m
32,admin.,single,tertiary,white,no,-59,no,unknown,192,-1,0,m
31,technician,married,secondary,black,no,0,no,cellular,102,-1,0,m
58,technician,single,secondary,hispanic,no,382,no,cellular,460,-1,0,f
35,management,single,tertiary,black,no,863,no,cellular,481,-1,0,m
78,retired,divorced,unknown,white,no,0,no,telephone,259,-1,0,f
30,management,single,tertiary,black,no,2,no,cellular,269,-1,0,m
32,management,single,tertiary,white,no,566,no,cellular,114,-1,0,f
37,blue-collar,single,tertiary,white,no,344,no,unknown,407,-1,0,m
30,technician,single,secondary,white,yes,-305,no,cellular,108,-1,0,m
39,management,married,tertiary,hispanic,no,622,no,cellular,181,184,0,f
53,admin.,single,secondary,hispanic,no,1958,no,telephone,164,-1,0,f
77,retired,married,primary,white,no,2590,no,telephone,212,277,1,f
58,retired,married,secondary,black,no,2609,no,cellular,136,-1,0,m
35,self-employed,married,secondary,hispanic,no,28,no,unknown,159,-1,0,f
60,technician,married,secondary,black,no,1139,no,cellular,67,207,0,m
37,management,married,tertiary,white,no,1893,no,cellular,353,-1,0,m
57,blue-collar,married,secondary,asian,no,5553,no,unknown,589,-1,0,m
36,blue-collar,married,primary,black,no,214,no,unknown,423,-1,0,f
53,retired,married,secondary,hispanic,no,4968,no,cellular,94,333,0,m
58,technician,married,tertiary,asian,no,289,no,telephone,182,-1,0,f
49,retired,married,primary,white,no,1381,no,unknown,73,-1,0,m
50,services,married,secondary,hispanic,no,1126,no,cellular,679,-1,0,m
54,housemaid,married,secondary,asian,no,991,no,telephone,11,-1,0,f
53,technician,single,secondary,black,no,530,no,telephone,744,-1,0,f
31,management,single,tertiary,black,no,596,no,cellular,184,196,0,f
34,management,single,tertiary,black,no,2561,no,cellular,554,-1,0,m
48,blue-collar,married,secondary,white,no,0,no,cellular,311,-1,0,m
39,technician,married,secondary,asian,no,355,no,cellular,132,-1,0,m
36,self-employed,single,tertiary,black,no,351,no,cellular,82,-1,0,f
48,management,married,tertiary,hispanic,no,6613,no,unknown,159,-1,0,m
53,blue-collar,married,primary,black,no,2295,no,cellular,65,-1,0,m
29,services,single,secondary,white,no,166,no,cellular,108,-1,0,m
39,housemaid,married,primary,hispanic,no,15352,no,unknown,99,-1,0,m
34,services,single,tertiary,black,no,239,no,cellular,699,-1,0,m
42,management,divorced,tertiary,asian,no,497,no,unknown,84,-1,0,m
57,management,divorced,unknown,black,no,2986,no,unknown,1563,166,0,m
53,admin.,married,secondary,black,no,769,no,cellular,59,-1,0,m
59,retired,married,secondary,asian,no,667,no,cellular,486,-1,0,f
46,blue-collar,married,primary,hispanic,no,874,no,cellular,996,-1,1,f
52,unknown,married,unknown,asian,no,5361,no,cellular,607,-1,1,m
